,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_cat,Embarked_cat
622,623,1,3,male,20.0,1,1,15.7417,C,1,0
623,624,0,3,male,21.0,0,0,7.8542,S,1,2
624,625,0,3,male,21.0,0,0,16.1,S,1,2
625,626,0,1,male,61.0,0,0,32.3208,S,1,2
626,627,0,2,male,57.0,0,0,12.35,Q,1,1
627,628,1,1,female,21.0,0,0,77.9583,S,0,2
628,629,0,3,male,26.0,0,0,7.8958,S,1,2
630,631,1,1,male,80.0,0,0,30.0,S,1,2
631,632,0,3,male,51.0,0,0,7.0542,S,1,2
632,633,1,1,male,32.0,0,0,30.5,C,1,0
634,635,0,3,female,9.0,3,2,27.9,S,0,2
635,636,1,2,female,28.0,0,0,13.0,S,0,2
636,637,0,3,male,32.0,0,0,7.925,S,1,2
637,638,0,2,male,31.0,1,1,26.25,S,1,2
638,639,0,3,female,41.0,0,5,39.6875,S,0,2
640,641,0,3,male,20.0,0,0,7.8542,S,1,2
641,642,1,1,female,24.0,0,0,69.3,C,0,0
642,643,0,3,female,2.0,3,2,27.9,S,0,2
644,645,1,3,female,0.75,2,1,19.2583,C,0,0
645,646,1,1,male,48.0,1,0,76.7292,C,1,0
646,647,0,3,male,19.0,0,0,7.8958,S,1,2
647,648,1,1,male,56.0,0,0,35.5,C,1,0
649,650,1,3,female,23.0,0,0,7.55,S,0,2
651,652,1,2,female,18.0,0,1,23.0,S,0,2
652,653,0,3,male,21.0,0,0,8.4333,S,1,2
654,655,0,3,female,18.0,0,0,6.75,Q,0,1
655,656,0,2,male,24.0,2,0,73.5,S,1,2
657,658,0,3,female,32.0,1,1,15.5,Q,0,1
658,659,0,2,male,23.0,0,0,13.0,S,1,2
659,660,0,1,male,58.0,0,2,113.275,C,1,0
660,661,1,1,male,50.0,2,0,133.65,S,1,2
661,662,0,3,male,40.0,0,0,7.225,C,1,0
662,663,0,1,male,47.0,0,0,25.5875,S,1,2
663,664,0,3,male,36.0,0,0,7.4958,S,1,2
664,665,1,3,male,20.0,1,0,7.925,S,1,2
665,666,0,2,male,32.0,2,0,73.5,S,1,2
666,667,0,2,male,25.0,0,0,13.0,S,1,2
668,669,0,3,male,43.0,0,0,8.05,S,1,2
670,671,1,2,female,40.0,1,1,39.0,S,0,2
671,672,0,1,male,31.0,1,0,52.0,S,1,2
672,673,0,2,male,70.0,0,0,10.5,S,1,2
673,674,1,2,male,31.0,0,0,13.0,S,1,2
675,676,0,3,male,18.0,0,0,7.775,S,1,2
676,677,0,3,male,24.5,0,0,8.05,S,1,2
677,678,1,3,female,18.0,0,0,9.8417,S,0,2
678,679,0,3,female,43.0,1,6,46.9,S,0,2
679,680,1,1,male,36.0,0,1,512.3292,C,1,0
681,682,1,1,male,27.0,0,0,76.7292,C,1,0
682,683,0,3,male,20.0,0,0,9.225,S,1,2
683,684,0,3,male,14.0,5,2,46.9,S,1,2
684,685,0,2,male,60.0,1,1,39.0,S,1,2
685,686,0,2,male,25.0,1,2,41.5792,C,1,0
686,687,0,3,male,14.0,4,1,39.6875,S,1,2
687,688,0,3,male,19.0,0,0,10.1708,S,1,2
688,689,0,3,male,18.0,0,0,7.7958,S,1,2
689,690,1,1,female,15.0,0,1,211.3375,S,0,2
690,691,1,1,male,31.0,1,0,57.0,S,1,2
691,692,1,3,female,4.0,0,1,13.4167,C,0,0
693,694,0,3,male,25.0,0,0,7.225,C,1,0
694,695,0,1,male,60.0,0,0,26.55,S,1,2
695,696,0,2,male,52.0,0,0,13.5,S,1,2
696,697,0,3,male,44.0,0,0,8.05,S,1,2
698,699,0,1,male,49.0,1,1,110.8833,C,1,0
699,700,0,3,male,42.0,0,0,7.65,S,1,2
700,701,1,1,female,18.0,1,0,227.525,C,0,0
701,702,1,1,male,35.0,0,0,26.2875,S,1,2
702,703,0,3,female,18.0,0,1,14.4542,C,0,0
703,704,0,3,male,25.0,0,0,7.7417,Q,1,1
704,705,0,3,male,26.0,1,0,7.8542,S,1,2
705,706,0,2,male,39.0,0,0,26.0,S,1,2
706,707,1,2,female,45.0,0,0,13.5,S,0,2
707,708,1,1,male,42.0,0,0,26.2875,S,1,2
708,709,1,1,female,22.0,0,0,151.55,S,0,2
710,711,1,1,female,24.0,0,0,49.5042,C,0,0
712,713,1,1,male,48.0,1,0,52.0,S,1,2
713,714,0,3,male,29.0,0,0,9.4833,S,1,2
714,715,0,2,male,52.0,0,0,13.0,S,1,2
715,716,0,3,male,19.0,0,0,7.65,S,1,2
716,717,1,1,female,38.0,0,0,227.525,C,0,0
717,718,1,2,female,27.0,0,0,10.5,S,0,2
719,720,0,3,male,33.0,0,0,7.775,S,1,2
720,721,1,2,female,6.0,0,1,33.0,S,0,2
721,722,0,3,male,17.0,1,0,7.0542,S,1,2
722,723,0,2,male,34.0,0,0,13.0,S,1,2
723,724,0,2,male,50.0,0,0,13.0,S,1,2
724,725,1,1,male,27.0,1,0,53.1,S,1,2
725,726,0,3,male,20.0,0,0,8.6625,S,1,2
726,727,1,2,female,30.0,3,0,21.0,S,0,2
728,729,0,2,male,25.0,1,0,26.0,S,1,2
729,730,0,3,female,25.0,1,0,7.925,S,0,2
730,731,1,1,female,29.0,0,0,211.3375,S,0,2
731,732,0,3,male,11.0,0,0,18.7875,C,1,0
733,734,0,2,male,23.0,0,0,13.0,S,1,2
734,735,0,2,male,23.0,0,0,13.0,S,1,2
735,736,0,3,male,28.5,0,0,16.1,S,1,2
736,737,0,3,female,48.0,1,3,34.375,S,0,2
737,738,1,1,male,35.0,0,0,512.3292,C,1,0
741,742,0,1,male,36.0,1,0,78.85,S,1,2
742,743,1,1,female,21.0,2,2,262.375,C,0,0
743,744,0,3,male,24.0,1,0,16.1,S,1,2
744,745,1,3,male,31.0,0,0,7.925,S,1,2
745,746,0,1,male,70.0,1,1,71.0,S,1,2
746,747,0,3,male,16.0,1,1,20.25,S,1,2
747,748,1,2,female,30.0,0,0,13.0,S,0,2
748,749,0,1,male,19.0,1,0,53.1,S,1,2
749,750,0,3,male,31.0,0,0,7.75,Q,1,1
750,751,1,2,female,4.0,1,1,23.0,S,0,2
751,752,1,3,male,6.0,0,1,12.475,S,1,2
752,753,0,3,male,33.0,0,0,9.5,S,1,2
753,754,0,3,male,23.0,0,0,7.8958,S,1,2
754,755,1,2,female,48.0,1,2,65.0,S,0,2
755,756,1,2,male,0.67,1,1,14.5,S,1,2
756,757,0,3,male,28.0,0,0,7.7958,S,1,2
757,758,0,2,male,18.0,0,0,11.5,S,1,2
758,759,0,3,male,34.0,0,0,8.05,S,1,2
759,760,1,1,female,33.0,0,0,86.5,S,0,2
761,762,0,3,male,41.0,0,0,7.125,S,1,2
762,763,1,3,male,20.0,0,0,7.2292,C,1,0
763,764,1,1,female,36.0,1,2,120.0,S,0,2
764,765,0,3,male,16.0,0,0,7.775,S,1,2
765,766,1,1,female,51.0,1,0,77.9583,S,0,2
767,768,0,3,female,30.5,0,0,7.75,Q,0,1
769,770,0,3,male,32.0,0,0,8.3625,S,1,2
770,771,0,3,male,24.0,0,0,9.5,S,1,2
771,772,0,3,male,48.0,0,0,7.8542,S,1,2
772,773,0,2,female,57.0,0,0,10.5,S,0,2
774,775,1,2,female,54.0,1,3,23.0,S,0,2
775,776,0,3,male,18.0,0,0,7.75,S,1,2
777,778,1,3,female,5.0,0,0,12.475,S,0,2
779,780,1,1,female,43.0,0,1,211.3375,S,0,2
780,781,1,3,female,13.0,0,0,7.2292,C,0,0
781,782,1,1,female,17.0,1,0,57.0,S,0,2
782,783,0,1,male,29.0,0,0,30.0,S,1,2
784,785,0,3,male,25.0,0,0,7.05,S,1,2
785,786,0,3,male,25.0,0,0,7.25,S,1,2
786,787,1,3,female,18.0,0,0,7.4958,S,0,2
787,788,0,3,male,8.0,4,1,29.125,Q,1,1
788,789,1,3,male,1.0,1,2,20.575,S,1,2
789,790,0,1,male,46.0,0,0,79.2,C,1,0
791,792,0,2,male,16.0,0,0,26.0,S,1,2
794,795,0,3,male,25.0,0,0,7.8958,S,1,2
795,796,0,2,male,39.0,0,0,13.0,S,1,2
796,797,1,1,female,49.0,0,0,25.9292,S,0,2
797,798,1,3,female,31.0,0,0,8.6833,S,0,2
798,799,0,3,male,30.0,0,0,7.2292,C,1,0
799,800,0,3,female,30.0,1,1,24.15,S,0,2
800,801,0,2,male,34.0,0,0,13.0,S,1,2
801,802,1,2,female,31.0,1,1,26.25,S,0,2
802,803,1,1,male,11.0,1,2,120.0,S,1,2
803,804,1,3,male,0.42,0,1,8.5167,C,1,0
804,805,1,3,male,27.0,0,0,6.975,S,1,2
805,806,0,3,male,31.0,0,0,7.775,S,1,2
806,807,0,1,male,39.0,0,0,0.0,S,1,2
807,808,0,3,female,18.0,0,0,7.775,S,0,2
808,809,0,2,male,39.0,0,0,13.0,S,1,2
809,810,1,1,female,33.0,1,0,53.1,S,0,2
810,811,0,3,male,26.0,0,0,7.8875,S,1,2
811,812,0,3,male,39.0,0,0,24.15,S,1,2
812,813,0,2,male,35.0,0,0,10.5,S,1,2
813,814,0,3,female,6.0,4,2,31.275,S,0,2
814,815,0,3,male,30.5,0,0,8.05,S,1,2
816,817,0,3,female,23.0,0,0,7.925,S,0,2
817,818,0,2,male,31.0,1,1,37.0042,C,1,0
818,819,0,3,male,43.0,0,0,6.45,S,1,2
819,820,0,3,male,10.0,3,2,27.9,S,1,2
820,821,1,1,female,52.0,1,1,93.5,S,0,2
821,822,1,3,male,27.0,0,0,8.6625,S,1,2
822,823,0,1,male,38.0,0,0,0.0,S,1,2
823,824,1,3,female,27.0,0,1,12.475,S,0,2
824,825,0,3,male,2.0,4,1,39.6875,S,1,2
827,828,1,2,male,1.0,0,2,37.0042,C,1,0
830,831,1,3,female,15.0,1,0,14.4542,C,0,0
831,832,1,2,male,0.83,1,1,18.75,S,1,2
833,834,0,3,male,23.0,0,0,7.8542,S,1,2
834,835,0,3,male,18.0,0,0,8.3,S,1,2
835,836,1,1,female,39.0,1,1,83.1583,C,0,0
836,837,0,3,male,21.0,0,0,8.6625,S,1,2
838,839,1,3,male,32.0,0,0,56.4958,S,1,2
840,841,0,3,male,20.0,0,0,7.925,S,1,2
841,842,0,2,male,16.0,0,0,10.5,S,1,2
842,843,1,1,female,30.0,0,0,31.0,C,0,0
843,844,0,3,male,34.5,0,0,6.4375,C,1,0
844,845,0,3,male,17.0,0,0,8.6625,S,1,2
845,846,0,3,male,42.0,0,0,7.55,S,1,2
847,848,0,3,male,35.0,0,0,7.8958,C,1,0
848,849,0,2,male,28.0,0,1,33.0,S,1,2
850,851,0,3,male,4.0,4,2,31.275,S,1,2
851,852,0,3,male,74.0,0,0,7.775,S,1,2
852,853,0,3,female,9.0,1,1,15.2458,C,0,0
853,854,1,1,female,16.0,0,1,39.4,S,0,2
854,855,0,2,female,44.0,1,0,26.0,S,0,2
855,856,1,3,female,18.0,0,1,9.35,S,0,2
856,857,1,1,female,45.0,1,1,164.8667,S,0,2
857,858,1,1,male,51.0,0,0,26.55,S,1,2
858,859,1,3,female,24.0,0,3,19.2583,C,0,0
860,861,0,3,male,41.0,2,0,14.1083,S,1,2
861,862,0,2,male,21.0,1,0,11.5,S,1,2
862,863,1,1,female,48.0,0,0,25.9292,S,0,2
864,865,0,2,male,24.0,0,0,13.0,S,1,2
865,866,1,2,female,42.0,0,0,13.0,S,0,2
866,867,1,2,female,27.0,1,0,13.8583,C,0,0
867,868,0,1,male,31.0,0,0,50.4958,S,1,2
869,870,1,3,male,4.0,1,1,11.1333,S,1,2
870,871,0,3,male,26.0,0,0,7.8958,S,1,2
871,872,1,1,female,47.0,1,1,52.5542,S,0,2
872,873,0,1,male,33.0,0,0,5.0,S,1,2
873,874,0,3,male,47.0,0,0,9.0,S,1,2
874,875,1,2,female,28.0,1,0,24.0,C,0,0
875,876,1,3,female,15.0,0,0,7.225,C,0,0
876,877,0,3,male,20.0,0,0,9.8458,S,1,2
877,878,0,3,male,19.0,0,0,7.8958,S,1,2
879,880,1,1,female,56.0,0,1,83.1583,C,0,0
880,881,1,2,female,25.0,0,1,26.0,S,0,2
881,882,0,3,male,33.0,0,0,7.8958,S,1,2
882,883,0,3,female,22.0,0,0,10.5167,S,0,2
883,884,0,2,male,28.0,0,0,10.5,S,1,2
884,885,0,3,male,25.0,0,0,7.05,S,1,2
885,886,0,3,female,39.0,0,5,29.125,Q,0,1
886,887,0,2,male,27.0,0,0,13.0,S,1,2
887,888,1,1,female,19.0,0,0,30.0,S,0,2
889,890,1,1,male,26.0,0,0,30.0,C,1,0
890,891,0,3,male,32.0,0,0,7.75,Q,1,1
